"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","LOWER EASTERN SHORE","90","SOMERSET","039","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","154.5","5.9"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","LOWER EASTERN SHORE","90","WICOMICO","045","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","136.8","6.1"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","LOWER EASTERN SHORE","90","WORCESTER","047","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","152.9","4.4"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","CARROLL","013","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","173.3","3.3"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","FREDERICK","021","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","138.6","3.6"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","HARFORD","025","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","191.5","6.0"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","HOWARD","027","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199.5","2.7"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","WASHINGTON","043","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","158","2.8"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","SOUTHERN","80","ANNE ARUNDEL","003","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176.8","7.4"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","SOUTHERN","80","CHARLES","017","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","147.6","5.4"
"SURVEY","2025","YEAR","","COUNTY","MARYLAND","24","SOUTHERN","80","ST MARYS","037","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","133.6","12.8"
