year,state_ansi,county_ansi,district_code,data_item,value,cv
2023,17,107,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.1,1.6
2023,17,115,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",225.3,2.8
2023,17,125,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",208.1,3.6
2023,17,113,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.3,2.2
2023,17,129,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",214.4,3.9
2023,17,143,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220.0,3.0
2023,17,175,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",234.1,1.7
2023,17,179,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",222.0,2.2
2023,17,203,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.2,2.4
2023,17,019,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",218.2,3.3
2023,17,053,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.3,2.1
2023,17,075,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",216.5,2.2
2023,17,091,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.5,2.1
2023,17,105,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220.1,1.4
2023,17,147,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.2,2.7
2023,17,183,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",204.2,4.3
2023,17,023,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",204.6,3.6
2023,17,025,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178.3,7.0
2023,17,029,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",221.3,1.4
2023,17,033,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",194.3,1.9
2023,17,035,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",206.6,2.2
2023,17,041,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.6,4.0
2023,17,045,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",208.5,3.9
2023,17,049,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.0,4.1
2023,17,051,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.2,4.6
2023,17,079,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191.8,3.5
2023,17,101,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.3,3.7
2023,17,121,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",157.8,3.7
2023,17,139,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",220.5,3.1
2023,17,159,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.5,1.4
2023,17,173,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",196.6,1.6
2023,17,007,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",212.7,4.2
2023,17,037,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",222.8,3.2
2023,17,089,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.1,2.8
2023,17,093,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",206.2,3.1
2023,17,099,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",199.7,2.9
2023,17,097,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.9,3.9
2023,17,197,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195.2,4.0
2023,17,011,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.5,2.1
2023,17,015,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",229.5,2.8
2023,17,073,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.5,3.3
2023,17,085,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.2,3.8
2023,17,103,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.7,1.6
2023,17,131,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",226.6,1.9
2023,17,141,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",216.8,2.6
2023,17,155,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",213.7,3.4
2023,17,161,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",218.9,2.1
2023,17,177,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",217.0,1.8
2023,17,195,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201.3,4.7
2023,17,201,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190.4,2.3
2023,17,047,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184.8,3.4
2023,17,055,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.7,1.9
2023,17,081,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155.7,2.2
2023,17,127,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",174.9,3.2
