year,state_ansi,county_ansi,district_code,data_item,value,cv
2025,01,047,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",140.4,5.7
2025,01,087,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123.6,12.7
2025,01,091,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",125.5,16.3
2025,01,003,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",170.0,4.9
2025,01,035,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",165.1,5.6
2025,01,053,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",146.5,9.7
2025,01,131,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",127.0,4.4
2025,01,009,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.1,7.1
2025,01,015,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",161.8,4.1
2025,01,019,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",121.5,3.9
2025,01,043,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",157.5,9.5
2025,01,049,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",149.0,3.3
2025,01,055,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",142.8,5.3
2025,01,071,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",126.4,8.2
2025,01,095,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160.7,4.2
2025,01,033,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",157.5,2.8
2025,01,059,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",94.3,9.6
2025,01,077,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",161.3,3.6
2025,01,079,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.7,2.7
2025,01,083,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.5,3.1
2025,01,089,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181.0,3.1
2025,01,093,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.7,14.7
2025,01,017,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.6,13.7
2025,01,021,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123.7,14.0
2025,01,057,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.7,8.3
2025,01,117,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.3,10.0
2025,01,121,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",156.8,13.5
2025,01,125,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.6,9.6
2025,01,127,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100.7,12.3
2025,01,039,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.2,13.2
2025,01,041,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",84.2,15.2
2025,01,045,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",126.2,16.1
2025,01,061,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.9,5.0
2025,01,067,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.7,8.5
2025,01,069,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",111.8,10.4
2025,01,109,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147.2,14.9
2025,05,045,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",149.3,12.9
2025,05,001,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",196.4,2.1
2025,05,035,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.2,5.7
2025,05,037,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.1,9.2
2025,05,077,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",179.0,4.8
2025,05,085,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.1,9.6
2025,05,095,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",165.5,6.4
2025,05,107,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.7,2.5
2025,05,117,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",200.3,1.8
2025,05,123,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.0,2.0
2025,05,147,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",222.4,4.0
2025,05,021,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",189.9,2.2
2025,05,031,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",170.3,5.7
2025,05,055,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190.2,2.9
2025,05,063,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.0,7.9
2025,05,067,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.7,6.9
2025,05,075,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",164.0,7.6
2025,05,111,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",198.8,2.7
2025,05,003,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",180.9,2.2
2025,05,017,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.5,4.2
2025,05,041,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182.8,7.9
2025,05,043,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",199.1,2.1
2025,05,069,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",199.2,1.7
2025,05,079,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188.8,2.2
2025,05,071,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",131.8,1.5
2025,05,149,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.6,9.4
2025,10,001,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195.7,1.8
2025,10,003,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.9,4.9
2025,10,005,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184.9,1.4
2025,13,091,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",229.0,3.5
2025,13,167,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",206.9,3.9
2025,13,175,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",215.1,4.4
2025,13,209,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",213.3,4.0
2025,13,211,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",130.6,18.3
2025,13,289,05,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",203.6,3.2
2025,13,031,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",169.4,6.5
2025,13,033,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",163.8,8.3
2025,13,043,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",163.6,10.6
2025,13,107,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",193.2,7.6
2025,13,163,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",225.8,5.8
2025,13,251,06,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",170.3,14.6
2025,13,123,02,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",174.0,20.2
2025,13,119,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",141.8,17.1
2025,13,147,03,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.5,2.4
2025,13,015,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",162.9,12.7
2025,13,129,01,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.3,6.6
2025,13,003,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201.8,3.7
2025,13,019,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",168.6,9.8
2025,13,027,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190.6,8.8
2025,13,069,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.5,6.5
2025,13,071,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",223.0,3.9
2025,13,075,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",206.8,4.4
2025,13,161,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.1,2.7
2025,13,287,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",196.6,6.9
2025,13,315,08,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",197.0,4.1
2025,13,267,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",165.5,12.4
2025,13,279,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191.9,8.6
2025,13,299,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",137.2,16.9
2025,13,305,09,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.8,12.0
2025,13,007,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",226.8,3.5
2025,13,037,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",225.6,5.8
2025,13,099,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",225.1,3.0
2025,13,131,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.4,2.6
2025,13,201,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",211.3,3.7
2025,13,243,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",227.8,2.3
2025,13,273,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",204.6,5.4
2025,13,275,07,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",202.2,12.5
2025,13,193,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.2,21.3
2024,01,047,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,9.0
2024,01,087,04,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",154.8,6.4
