year,state,county,division_yield,division_noaa,data_item,value,cv,temp_gs,pcpn_gs,county_padded,fips_full,tmax_avg_jan,prcp_tot_jan,tmax_avg_feb,prcp_tot_feb,tmax_avg_mar,prcp_tot_mar,tmax_avg_apr,prcp_tot_apr,tmax_avg_may,prcp_tot_may,tmax_avg_jun,prcp_tot_jun,tmax_avg_jul,prcp_tot_jul,tmax_avg_aug,prcp_tot_aug,tmax_avg_sep,prcp_tot_sep,tmax_avg_oct,prcp_tot_oct,tmax_avg_nov,prcp_tot_nov,tmax_avg_dec,prcp_tot_dec
1926,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",38.0,,25.472222222222225,831.3419999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1927,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,25.027777777777775,605.0279999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1928,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",41.0,,25.14814814814815,540.258,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1929,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",31.0,,25.31481481481482,725.678,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.0,,28.41666666666667,352.29799999999994,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",38.0,,27.10185185185186,670.814,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45.0,,26.824074074074076,665.7339999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",36.0,,27.583333333333332,506.476,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1934,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",6.0,,29.40740740740741,389.63599999999997,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1935,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,24.87962962962963,797.052,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1936,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",12.0,,29.583333333333332,428.498,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1937,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50.0,,26.555555555555557,468.1219999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1938,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40.0,,26.759259259259256,582.9300000000001,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1939,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,26.722222222222218,624.8399999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39.0,,26.222222222222218,376.174,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50.0,,27.685185185185187,570.7379999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1942,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51.0,,25.944444444444443,709.6759999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
