fips_full,year,CDD_1mm_Wweek_in_gs_1.0,CDD_1mm_Wweek_in_gs_2.0,CDD_1mm_Wweek_in_gs_3.0,CDD_1mm_Wweek_in_gs_4.0,CDD_1mm_Wweek_in_gs_5.0,CDD_1mm_Wweek_in_gs_6.0,CDD_1mm_Wweek_in_gs_7.0,CDD_1mm_Wweek_in_gs_8.0,CDD_1mm_Wweek_in_gs_9.0,CDD_1mm_Wweek_in_gs_10.0,CDD_1mm_Wweek_in_gs_11.0,CDD_1mm_Wweek_in_gs_12.0,CDD_1mm_Wweek_in_gs_13.0,CDD_1mm_Wweek_in_gs_14.0,CDD_1mm_Wweek_in_gs_15.0,CDD_1mm_Wweek_in_gs_16.0,CDD_1mm_Wweek_in_gs_17.0,CDD_1mm_Wweek_in_gs_18.0,CDD_1mm_Wweek_in_gs_19.0,CDD_1mm_Wweek_in_gs_20.0,CDD_1mm_Wweek_in_gs_21.0,CDD_1mm_Wweek_in_gs_22.0,CDD_1mm_Wweek_in_gs_23.0,CDD_1mm_Wweek_in_gs_24.0,CDD_1mm_Wweek_in_gs_25.0,CDD_1mm_Wweek_in_gs_26.0,CDD_1mm_Wweek_in_gs_27.0,CDD_2mm_Wweek_in_gs_1.0,CDD_2mm_Wweek_in_gs_2.0,CDD_2mm_Wweek_in_gs_3.0,CDD_2mm_Wweek_in_gs_4.0,CDD_2mm_Wweek_in_gs_5.0,CDD_2mm_Wweek_in_gs_6.0,CDD_2mm_Wweek_in_gs_7.0,CDD_2mm_Wweek_in_gs_8.0,CDD_2mm_Wweek_in_gs_9.0,CDD_2mm_Wweek_in_gs_10.0,CDD_2mm_Wweek_in_gs_11.0,CDD_2mm_Wweek_in_gs_12.0,CDD_2mm_Wweek_in_gs_13.0,CDD_2mm_Wweek_in_gs_14.0,CDD_2mm_Wweek_in_gs_15.0,CDD_2mm_Wweek_in_gs_16.0,CDD_2mm_Wweek_in_gs_17.0,CDD_2mm_Wweek_in_gs_18.0,CDD_2mm_Wweek_in_gs_19.0,CDD_2mm_Wweek_in_gs_20.0,CDD_2mm_Wweek_in_gs_21.0,CDD_2mm_Wweek_in_gs_22.0,CDD_2mm_Wweek_in_gs_23.0,CDD_2mm_Wweek_in_gs_24.0,CDD_2mm_Wweek_in_gs_25.0,CDD_2mm_Wweek_in_gs_26.0,CDD_2mm_Wweek_in_gs_27.0
17001,1951,5,4,6,4,5,5,7,4,6,4,3,4,2,5,4,5,3,7,5,6,5,4,4,5,6,3,0,5,4,6,4,6,5,7,5,6,6,3,4,2,6,4,5,3,7,6,6,5,4,5,5,6,4,0
17001,1952,4,3,6,5,7,1,5,5,6,4,5,3,7,6,5,4,7,5,5,3,6,6,6,6,6,7,1,5,4,6,5,7,4,5,5,6,4,6,4,7,6,5,4,7,6,5,5,6,6,6,6,6,7,1
17001,1953,5,4,4,5,4,6,4,6,7,4,5,7,4,4,7,5,6,6,5,4,7,7,5,7,6,7,1,6,5,5,5,4,6,5,6,7,4,6,7,5,4,7,5,6,6,5,5,7,7,5,7,6,7,1
17001,1954,5,5,3,5,3,7,5,5,2,5,6,6,5,5,7,6,6,4,3,2,6,4,6,7,5,5,0,5,5,4,5,4,7,6,6,3,5,6,7,5,6,7,6,6,4,4,2,6,4,7,7,5,6,0
17001,1955,5,3,5,4,7,3,6,3,3,4,4,6,4,5,7,4,6,7,6,7,6,6,7,6,4,3,0,5,3,5,4,7,3,6,3,4,5,4,6,4,5,7,4,6,7,6,7,6,6,7,6,5,3,0
17001,1956,7,6,7,4,6,6,4,5,3,6,6,2,6,4,4,2,7,4,5,4,6,5,7,6,7,7,1,7,6,7,5,6,6,6,5,3,6,6,2,6,4,5,3,7,4,5,5,6,5,7,6,7,7,1
17001,1957,1,5,3,1,7,4,2,3,6,5,2,6,3,6,7,5,3,5,7,5,6,6,5,4,5,7,1,4,5,3,1,7,4,2,3,6,5,2,6,4,6,7,5,3,5,7,5,6,6,6,6,5,7,1
17001,1958,2,7,6,4,3,6,4,7,4,6,1,7,5,4,5,2,5,3,6,4,5,6,4,6,4,6,0,2,7,6,4,4,6,4,7,5,6,1,7,6,4,5,2,5,3,6,4,5,6,6,6,4,7,0
17001,1959,4,5,4,5,7,5,3,3,3,7,7,6,6,5,6,5,4,5,4,5,7,6,6,6,6,0,1,5,5,4,5,7,5,3,4,3,7,7,6,6,5,6,6,4,5,4,5,7,6,6,6,6,0,1
17001,1960,6,6,3,7,4,5,4,2,5,6,3,4,4,6,5,7,5,6,5,6,5,6,7,6,4,5,1,6,6,3,7,4,5,4,2,5,6,3,5,5,6,5,7,5,6,5,6,6,7,7,7,5,5,1
17001,1961,6,3,6,4,6,5,4,7,7,3,5,6,7,3,5,2,3,5,4,6,5,7,5,4,7,4,1,7,3,6,4,6,5,4,7,7,4,6,6,7,3,5,3,3,5,4,6,6,7,5,4,7,4,1
17001,1962,3,6,6,7,4,4,7,5,5,2,5,6,6,4,6,5,4,6,4,6,4,7,5,5,6,6,0,4,6,6,7,5,4,7,5,5,2,5,6,6,4,6,5,6,7,5,6,6,7,5,5,6,6,0
17001,1963,6,7,4,6,5,6,2,5,5,7,6,6,7,4,5,6,6,6,6,6,5,6,4,4,7,7,1,6,7,4,7,5,6,3,7,5,7,6,6,7,4,5,6,6,6,7,6,5,7,4,4,7,7,1
17001,1964,2,6,3,5,5,5,6,6,5,5,4,5,6,5,4,6,5,6,7,7,5,5,6,7,2,4,1,3,7,3,5,7,6,6,6,5,5,4,5,7,5,6,6,5,6,7,7,5,5,6,7,3,4,1
17001,1965,3,3,6,5,7,4,6,5,4,3,6,5,5,3,5,4,7,5,5,6,5,3,3,5,1,7,1,3,4,6,6,7,7,6,5,4,3,6,5,5,3,5,5,7,7,5,6,5,4,3,7,1,7,1
