year,state,county,division_yield,division_noaa,data_item,value,cv,temp_gs,pcpn_gs,fips,tmax_m01,tmax_m02,tmax_m03,tmax_m04,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmax_m09,tmax_m10,tmax_m11,tmax_m12,prcp_m01,prcp_m02,prcp_m03,prcp_m04,prcp_m05,prcp_m06,prcp_m07,prcp_m08,prcp_m09,prcp_m10,prcp_m11,prcp_m12
1926,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",38.0,,25.472222222222225,831.3419999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1927,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,25.02777777777777,605.0279999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1928,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",41.0,,25.14814814814815,540.258,17001,,,,,,,,,,,,,,,,,,,,,,,,
1929,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",31.0,,25.31481481481482,725.678,17001,,,,,,,,,,,,,,,,,,,,,,,,
1930,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.0,,28.41666666666667,352.29799999999994,17001,,,,,,,,,,,,,,,,,,,,,,,,
1931,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",38.0,,27.10185185185186,670.814,17001,,,,,,,,,,,,,,,,,,,,,,,,
1932,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45.0,,26.82407407407408,665.7339999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1933,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",36.0,,27.58333333333333,506.476,17001,,,,,,,,,,,,,,,,,,,,,,,,
1934,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",6.0,,29.40740740740741,389.636,17001,,,,,,,,,,,,,,,,,,,,,,,,
1935,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,24.87962962962963,797.052,17001,,,,,,,,,,,,,,,,,,,,,,,,
1936,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",12.0,,29.58333333333333,428.498,17001,,,,,,,,,,,,,,,,,,,,,,,,
1937,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50.0,,26.55555555555556,468.1219999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1938,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40.0,,26.759259259259256,582.9300000000001,17001,,,,,,,,,,,,,,,,,,,,,,,,
1939,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,26.722222222222214,624.8399999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1940,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39.0,,26.222222222222214,376.174,17001,,,,,,,,,,,,,,,,,,,,,,,,
1941,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50.0,,27.685185185185187,570.7379999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1942,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51.0,,25.944444444444443,709.6759999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1943,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,25.71296296296296,643.8900000000001,17001,,,,,,,,,,,,,,,,,,,,,,,,
1944,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45.0,,26.166666666666668,645.414,17001,,,,,,,,,,,,,,,,,,,,,,,,
1945,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",37.0,,24.65740740740741,790.7019999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1946,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.675925925925927,589.28,17001,,,,,,,,,,,,,,,,,,,,,,,,
1947,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",23.0,,26.277777777777786,676.91,17001,,,,,,,,,,,,,,,,,,,,,,,,
1948,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",69.0,,26.759259259259256,511.81,17001,,,,,,,,,,,,,,,,,,,,,,,,
1949,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.0,,26.203703703703702,600.9639999999999,17001,,,,,,,,,,,,,,,,,,,,,,,,
1950,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55.0,,24.31481481481482,518.668,17001,,,,,,,,,,,,,,,,,,,,,,,,
1951,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,24.46296296296296,549.1479999999999,17001,2.2806451612903227,4.206785714285714,6.574193548387097,14.503333333333334,24.640967741935484,25.985666666666667,29.581935483870968,29.008064516129032,23.05933333333333,19.15032258064516,6.843666666666667,2.4774193548387102,35.4,90.99000000000001,145.78,64.29,61.17,108.84,140.57999999999998,94.32,79.7,68.36,54.36,34.25
1952,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",59.0,,26.740740740740744,537.2099999999999,17001,3.7619354838709675,6.538965517241379,7.81741935483871,17.567999999999998,22.97741935483871,31.665333333333333,31.984516129032258,29.23548387096774,26.990666666666666,18.294838709677418,11.608333333333333,4.5038709677419355,19.259999999999998,40.52,102.83,87.67,109.53999999999999,107.95,92.15,66.32,73.57,19.759999999999998,73.33,46.88
1953,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",52.0,,27.157407407407405,324.866,17001,2.5545161290322578,7.560357142857143,10.405806451612902,14.767999999999999,23.419999999999998,31.930999999999997,32.600967741935484,31.569032258064517,28.624000000000002,22.398387096774194,12.466333333333333,6.14741935483871,27.32,30.93,104.08,63.349999999999994,53.47,74.66,48.89,31.55,53.36,33.660000000000004,12.219999999999999,31.03
